,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
97,Burnley,Preston,0.0,0.0,D,0.0,0.0,D,G Ward,0.2413793103448276,0.3214285714285714,0.08333333333333333,0.2,0.33333333333333337,0.4444444444444444,0.125,0.2,0.5,0.5714285714285714,0.0,0.0
98,Norwich,Hull,0.6666666666666666,0.0,H,0.6666666666666666,0.0,H,T Nield,0.5862068965517241,0.5714285714285714,0.75,0.5,0.38888888888888884,0.5555555555555555,0.25,0.4666666666666667,0.5,0.5714285714285714,0.0,0.0
99,Portsmouth,Oxford,0.16666666666666666,0.16666666666666666,D,0.0,0.0,D,L Smith,0.6551724137931034,0.46428571428571425,0.6666666666666666,0.30000000000000004,0.38888888888888884,0.33333333333333337,0.6875,0.26666666666666666,0.0,0.14285714285714285,0.0,0.0
100,Coventry,Sheffield Weds,0.16666666666666666,0.3333333333333333,A,0.3333333333333333,0.3333333333333333,D,D Whitestone,0.3793103448275862,0.46428571428571425,0.16666666666666666,0.5,0.4444444444444444,0.7222222222222222,0.375,0.4,0.6666666666666666,0.42857142857142855,0.0,0.0
101,Derby,QPR,0.3333333333333333,0.0,H,0.0,0.0,D,D Webb,0.27586206896551724,0.39285714285714285,0.41666666666666663,0.30000000000000004,0.4444444444444444,0.33333333333333337,0.375,0.6,0.16666666666666666,0.14285714285714285,0.0,0.0
102,Plymouth,Blackburn,0.3333333333333333,0.16666666666666666,H,0.3333333333333333,0.0,H,J Linington,0.5172413793103448,0.25,0.5833333333333333,0.4,0.2222222222222222,0.6666666666666666,0.3125,0.3333333333333333,0.6666666666666666,0.42857142857142855,0.0,0.0
103,Sheffield United,Luton,0.3333333333333333,0.0,H,0.3333333333333333,0.0,H,J Brooks,0.4482758620689655,0.2857142857142857,0.5833333333333333,0.2,0.33333333333333337,0.2222222222222222,0.3125,0.4,0.3333333333333333,0.14285714285714285,0.0,0.0
104,Swansea,Stoke,0.0,0.0,D,0.0,0.0,D,A Davies,0.5862068965517241,0.3571428571428571,0.41666666666666663,0.4,0.2222222222222222,0.5555555555555555,0.3125,0.6,0.0,0.5714285714285714,0.0,0.0
105,Watford,Middlesbrough,0.3333333333333333,0.16666666666666666,H,0.0,0.0,D,M Donohue,0.2413793103448276,0.39285714285714285,0.3333333333333333,0.5,0.611111111111111,0.38888888888888884,0.4375,0.3333333333333333,0.5,0.14285714285714285,0.0,0.0
106,West Brom,Millwall,0.0,0.0,D,0.0,0.0,D,W Finnie,0.3793103448275862,0.21428571428571427,0.25,0.4,0.2222222222222222,0.611111111111111,0.3125,0.13333333333333333,0.3333333333333333,0.42857142857142855,0.0,0.0
107,Bristol City,Cardiff,0.16666666666666666,0.16666666666666666,D,0.0,0.0,D,R Madley,0.48275862068965514,0.5357142857142857,0.16666666666666666,0.2,0.2222222222222222,0.4444444444444444,0.25,0.4,0.3333333333333333,0.14285714285714285,0.0,0.0
